Time (s),CH2 Voltage (V),CH3 Voltage (V)
-0.0003999999999999976,0.08363999,0.05893333
-0.00020000000000000573,0.08300666,0.05802
0.0,0.08301999,0.05802
0.00020000000000000573,0.08363999,0.05943333
0.0003999999999999976,0.08359999,0.05944666
0.0006000000000000033,0.08301999,0.05863333
0.0007999999999999952,0.08361333,0.05863333
0.0010000000000000009,0.08299333,0.0607
0.0011999999999999927,0.08291332,0.06020666
0.0013999999999999985,0.08354666,0.06148666
0.0016000000000000042,0.08354666,0.06093333
0.001799999999999996,0.08291332,0.06195333
0.0020000000000000018,0.08354666,0.06142
0.0021999999999999936,0.08295333,0.06253999
0.0023999999999999994,0.08357333,0.06259333
0.002600000000000005,0.08296666,0.06148666
0.002799999999999997,0.08297999,0.06194
0.0030000000000000027,0.08368,0.06061999
0.0031999999999999945,0.08308666,0.06059333
0.0034000000000000002,0.08374666,0.06127333
0.003600000000000006,0.08311333,0.06118666
0.003799999999999998,0.08378666,0.0596
0.0040000000000000036,0.08315333,0.05943333
0.004199999999999995,0.08377333,0.06033333
0.004400000000000001,0.08313999,0.06038666
0.004599999999999993,0.08375999,0.05954
0.004799999999999999,0.08371999,0.06003333
0.0050000000000000044,0.08315333,0.05912
0.005199999999999996,0.08366666,0.05962666
0.005400000000000002,0.08301999,0.05844
0.005599999999999994,0.08361333,0.05897333
0.0058,0.08297999,0.05818
0.006000000000000005,0.08350666,0.05867333
0.006199999999999997,0.0829,0.05682
0.006400000000000003,0.08285999,0.05734
0.006599999999999995,0.08349333,0.05650666
0.0068000000000000005,0.08291332,0.05703999
0.007000000000000006,0.08352,0.05547333
0.007199999999999998,0.08288666,0.05592666
0.007400000000000004,0.08356,0.05516
0.007599999999999996,0.08292666,0.05584
0.007800000000000001,0.08354666,0.05508
0.007999999999999993,0.08292666,0.05494666
0.008199999999999999,0.08359999,0.05606
0.008400000000000005,0.08357333,0.05649333
0.008599999999999997,0.0829,0.05555333
0.008800000000000002,0.08297999,0.05532666
0.008999999999999994,0.08359999,0.057
0.0092,0.08357333,0.05654666
0.009400000000000006,0.08294,0.05897333
0.009599999999999997,0.08356,0.0584
0.009800000000000003,0.08295333,0.05936666
0.009999999999999995,0.08300666,0.05895999
0.0102,0.08358666,0.06089333
0.010400000000000006,0.08363999,0.06036
0.010599999999999998,0.08299333,0.061
0.010800000000000004,0.08301999,0.06052
0.010999999999999996,0.08366666,0.06131333
0.011200000000000002,0.08307333,0.06124666
0.011399999999999993,0.08377333,0.06018
0.0116,0.08363999,0.06030666
0.011800000000000005,0.08303333,0.06123333
0.011999999999999997,0.08361333,0.06090666
0.012200000000000003,0.08299333,0.05957333
0.012399999999999994,0.08357333,0.05954
0.0126,0.08291332,0.06039999
0.012800000000000006,0.08353332,0.06034666
0.012999999999999998,0.08288666,0.05914666
0.013200000000000003,0.08287333,0.05958666
0.013399999999999995,0.08349333,0.05832
0.013600000000000001,0.08291332,0.05832
0.013800000000000007,0.08356,0.05918666
0.013999999999999999,0.08296666,0.05913333
0.014200000000000004,0.08357333,0.05768
0.014399999999999996,0.08306,0.05815333
0.014600000000000002,0.08369333,0.0573
0.014799999999999994,0.08315333,0.05796666
0.015,0.08385333,0.05668666
0.015200000000000005,0.08330666,0.05709333
0.015399999999999997,0.08389333,0.05578666
0.015600000000000003,0.08335999,0.05589333
0.015799999999999995,0.08393999,0.05687333
0.016,0.08393999,0.05641333
0.016200000000000006,0.08330666,0.05731333
0.016399999999999998,0.08382666,0.05684666
0.016600000000000004,0.08316666,0.05829333
0.016799999999999995,0.08311333,0.05788
0.017,0.08377333,0.05986666
0.017200000000000007,0.08366666,0.05939333
0.0174,0.08300666,0.06097333
0.017600000000000005,0.08361333,0.06052
0.017799999999999996,0.08295333,0.06225333
0.018000000000000002,0.08354666,0.0618
0.018199999999999994,0.08296666,0.06281999
0.0184,0.08350666,0.06229333
0.018600000000000005,0.08288666,0.06326
0.018799999999999997,0.08292666,0.06280667
0.019000000000000003,0.08353332,0.06406
0.019199999999999995,0.08353332,0.06406
0.0194,0.08295333,0.06292
0.019600000000000006,0.08299333,0.06342
0.019799999999999998,0.08362666,0.06264666
0.020000000000000004,0.08366666,0.06313333
0.020199999999999996,0.08306,0.06228
0.0204,0.08304666,0.06276666
0.020599999999999993,0.08368,0.06102666
0.0208,0.08362666,0.06147333
0.021000000000000005,0.08299333,0.06075333
0.021199999999999997,0.08299333,0.06140666
0.021400000000000002,0.08363999,0.05962666
0.021599999999999994,0.08297999,0.05926
0.0218,0.08356,0.06028
0.022000000000000006,0.08295333,0.06056666
0.022199999999999998,0.08359999,0.05942
0.022400000000000003,0.08362666,0.0599
0.022599999999999995,0.08291332,0.05799333
0.0228,0.08295333,0.05818
0.023000000000000007,0.08357333,0.05940666
0.0232,0.08300666,0.05910666
0.023400000000000004,0.08366666,0.05698666
0.023599999999999996,0.08359999,0.05672666
0.0238,0.08296666,0.05762666
0.023999999999999994,0.08359999,0.05785333
0.0242,0.08297999,0.05675333
0.024400000000000005,0.08354666,0.05714666
0.024599999999999997,0.08288666,0.05615333
0.024800000000000003,0.08350666,0.0564
0.024999999999999994,0.08288666,0.05791333
0.0252,0.08346666,0.05747333
0.025400000000000006,0.08280666,0.05820666
0.02560000000000001,0.0834,0.05755333
0.02579999999999999,0.08279333,0.05844
0.025999999999999995,0.08341333,0.05798
0.0262,0.08276666,0.05912
0.026400000000000007,0.08276666,0.05909333
0.026600000000000013,0.08345333,0.05833333
0.02679999999999999,0.08285999,0.05836
0.026999999999999996,0.08345333,0.06002
0.027200000000000002,0.0829,0.05952666
0.027400000000000008,0.08349333,0.06045333
0.027600000000000013,0.08358666,0.06012666
0.02779999999999999,0.08291332,0.05867333
0.027999999999999997,0.08297999,0.05872666
0.028200000000000003,0.08357333,0.05965333
0.02840000000000001,0.08301999,0.05931333
0.028600000000000014,0.08366666,0.05706666
0.028799999999999992,0.08359999,0.05748666
0.028999999999999998,0.08299333,0.05653333
0.029200000000000004,0.08358666,0.05709333
0.02940000000000001,0.08300666,0.05591333
0.029599999999999987,0.08352,0.05632
0.029799999999999993,0.08292666,0.05547333
0.03,0.08292666,0.05589333
0.030200000000000005,0.08359999,0.05706666
0.03040000000000001,0.08354666,0.05660666
0.03059999999999999,0.08296666,0.05743333
0.030799999999999994,0.08292666,0.05690666
0.031,0.08356,0.05867333
0.031200000000000006,0.08296666,0.05826666
0.03140000000000001,0.08357333,0.05991333
0.03159999999999999,0.08296666,0.05917333
0.031799999999999995,0.08359999,0.06034666
0.032,0.08296666,0.05991333
0.032200000000000006,0.08361333,0.06219333
0.03240000000000001,0.08362666,0.06170666
0.03259999999999999,0.08301999,0.06248
0.032799999999999996,0.08362666,0.06200666
0.033,0.08301999,0.06279333
0.03320000000000001,0.08301999,0.06230666
0.03340000000000001,0.08368,0.06310666
0.03359999999999999,0.08366666,0.06242666
0.0338,0.08299333,0.06318666
0.034,0.08301999,0.06315999
0.03420000000000001,0.08370666,0.06222666
0.034400000000000014,0.08307333,0.06226666
0.03459999999999999,0.08365333,0.06374666
0.0348,0.08308666,0.06381333
0.035,0.08368,0.06200666
0.03520000000000001,0.08370666,0.06194
0.035400000000000015,0.08308666,0.06366666
0.03559999999999999,0.08312666,0.06362666
0.0358,0.08373333,0.06128666
0.036000000000000004,0.08373333,0.06171999
0.03620000000000001,0.08304666,0.06033333
0.03639999999999999,0.08300666,0.06080666
0.036599999999999994,0.08369333,0.05923333
0.0368,0.08368,0.05963999
0.037000000000000005,0.08304666,0.05837333
0.03720000000000001,0.08303333,0.05884666
0.03739999999999999,0.08359999,0.05714666
0.037599999999999995,0.08361333,0.05768
0.0378,0.08296666,0.05684666
0.038000000000000006,0.08297999,0.05732666
