Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-1.1480000000000001,0.14448,0.0,41.89236121161956
-1.146,0.1071067,0.0,41.89236121161956
-1.1440000000000001,0.1068933,0.0,41.89236121161956
-1.142,0.1448067,0.0,41.89236121161956
-1.1400000000000001,0.1448067,0.0,41.89236121161956
-1.138,0.1126,0.0,41.89236121161956
-1.1360000000000001,0.1163733,0.0,41.89236121161956
-1.134,0.1071067,0.0,41.89236121161956
-1.1320000000000001,0.1076467,0.0,41.89236121161956
-1.13,0.1447,0.0,41.89236121161956
-1.1280000000000001,0.1452333,0.0,41.89236121161956
-1.126,0.10754,0.0,41.89236121161956
-1.124,0.1071067,0.0,41.89236121161956
-1.1219999999999999,0.1439467,0.0,41.89236121161956
-1.12,0.1456667,0.0,41.89236121161956
-1.1179999999999999,0.1124933,0.0,41.89236121161956
-1.116,0.11626,0.0,41.89236121161956
-1.1139999999999999,0.1071067,0.0,41.89236121161956
-1.112,0.1077533,0.0,41.89236121161956
-1.1099999999999999,0.1447,0.0,41.89236121161956
-1.108,0.14416,0.0,41.89236121161956
-1.1059999999999999,0.1072133,0.0,41.89236121161956
-1.104,0.10732,0.0,41.89236121161956
-1.1019999999999999,0.14416,0.0,41.89236121161956
-1.1,0.1448067,0.0,41.89236121161956
-1.0979999999999999,0.1132467,0.0,41.89236121161956
-1.096,0.11702,0.0,41.89236121161956
-1.0939999999999999,0.1072133,0.0,41.89236121161956
-1.092,0.10732,0.0,41.89236121161956
-1.0899999999999999,0.1442667,0.0,41.89236121161956
-1.088,0.14416,0.0,41.89236121161956
-1.0859999999999999,0.10754,0.0,41.89236121161956
-1.084,0.1071067,0.0,41.89236121161956
-1.0819999999999999,0.1407133,0.0,41.89236121161956
-1.08,0.1457733,0.0,41.89236121161956
-1.0779999999999998,0.1127067,0.0,41.89236121161956
-1.076,0.11648,0.0,41.89236121161956
-1.0739999999999998,0.1071067,0.0,41.89236121161956
-1.072,0.1077533,0.0,41.89236121161956
-1.0699999999999998,0.14502,0.0,41.89236121161956
-1.068,0.1452333,0.0,41.89236121161956
-1.0659999999999998,0.10732,0.0,41.89236121161956
-1.064,0.1074333,0.0,41.89236121161956
-1.0619999999999998,0.1453467,0.0,41.89236121161956
-1.06,0.14588,0.0,41.89236121161956
-1.0579999999999998,0.1124933,0.0,41.89236121161956
-1.056,0.1165867,0.0,41.89236121161956
-1.0539999999999998,0.10754,0.0,41.89236121161956
-1.052,0.1076467,0.0,41.89236121161956
-1.0499999999999998,0.1473933,0.0,41.89236121161956
-1.048,0.14362,0.0,41.89236121161956
-1.0459999999999998,0.1077533,0.0,41.89236121161956
-1.044,0.1076467,0.0,41.89236121161956
-1.0419999999999998,0.1447,0.0,41.89236121161956
-1.04,0.1447,0.0,41.89236121161956
-1.038,0.1130333,0.0,41.89236121161956
-1.036,0.1168,0.0,41.89236121161956
-1.034,0.1076467,0.0,41.89236121161956
-1.032,0.1076467,0.0,41.89236121161956
-1.03,0.1463133,0.0,41.89236121161956
-1.028,0.1462067,0.0,41.89236121161956
-1.026,0.1076467,0.0,41.89236121161956
-1.024,0.1076467,0.0,41.89236121161956
-1.022,0.1453467,0.0,41.89236121161956
-1.02,0.1447,0.0,41.89236121161956
-1.018,0.1129267,0.0,41.89236121161956
-1.016,0.1166933,0.0,41.89236121161956
-1.014,0.1076467,0.0,41.89236121161956
-1.012,0.1081867,0.0,41.89236121161956
-1.01,0.14588,0.0,41.89236121161956
-1.008,0.1448067,0.0,41.89236121161956
-1.006,0.10808,0.0,41.89236121161956
-1.004,0.1077533,0.0,41.89236121161956
-1.002,0.14448,0.0,41.89236121161956
-1.0,0.1443733,0.0,41.89236121161956
