Time (s),no_pump,pump_1552.4385nm,no_pump,pump_1551nm,pump_1556nm
0.000135,0.08531333,0.08597999,0.09408666,0.08626666,0.09957999
0.0001355,0.08456666,0.08685999,0.09326666,0.08554,0.1004133
0.000136,0.08525333,0.08601332,0.09323999,0.08622666,0.09959333
0.00013649999999999998,0.08451333,0.08681999,0.09401999,0.08554,0.10036
0.000137,0.08451333,0.08602666,0.09325333,0.08556666,0.0997
0.00013749999999999998,0.08523999,0.08676666,0.09409999,0.08619999,0.10044
0.000138,0.08525333,0.08678,0.09403332,0.08557999,0.1003733
0.0001385,0.08451333,0.086,0.09328,0.08621333,0.09963333
0.000139,0.08449999,0.08672666,0.09325333,0.08623999,0.09956666
0.0001395,0.08526666,0.086,0.09408666,0.08556666,0.1004533
0.00014,0.08523999,0.08596666,0.09408666,0.08549999,0.1003467
0.0001405,0.08453999,0.08676666,0.09328,0.08616,0.09965999
0.00014099999999999998,0.08522666,0.08595333,0.09407333,0.08552666,0.10036
0.0001415,0.08448666,0.08669999,0.09326666,0.08617333,0.09965999
0.00014199999999999998,0.08523999,0.08589999,0.09326666,0.08618666,0.09957999
0.0001425,0.08451333,0.08671333,0.09408666,0.08551333,0.10032
0.000143,0.08522666,0.08594,0.09322666,0.08548666,0.1003067
0.0001435,0.08453999,0.08672666,0.09406,0.08614666,0.09957999
0.000144,0.08449999,0.08668,0.09322666,0.08616,0.1002667
0.0001445,0.08526666,0.08594,0.09403332,0.08547333,0.09949999
0.000145,0.08452666,0.08668,0.09404666,0.08614666,0.09948666
0.00014549999999999999,0.0852,0.08589999,0.09321333,0.08544666,0.10028
0.000146,0.08523999,0.08666666,0.09318666,0.08611999,0.09952666
0.00014649999999999998,0.08447333,0.08588666,0.09406,0.08547333,0.1002
0.000147,0.08448666,0.08587333,0.09323999,0.08617333,0.1002
0.00014749999999999998,0.08523999,0.08665333,0.09404666,0.08543333,0.09949999
0.000148,0.08522666,0.08668,0.09323999,0.08609333,0.1001733
0.0001485,0.08449999,0.08588666,0.09401999,0.08539332,0.09951333
0.000149,0.0852,0.08669999,0.09406,0.08602666,0.09949999
0.0001495,0.08449999,0.08592666,0.09325333,0.08543333,0.1002267
0.00015,0.08522666,0.08666666,0.09326666,0.08542,0.09948666
0.0001505,0.08448666,0.08591333,0.09408666,0.08609333,0.1002
0.00015099999999999998,0.0852,0.08662666,0.09326666,0.08540666,0.09943333
0.0001515,0.08447333,0.08588666,0.09408666,0.08609333,0.10024
