Time (s),CH1 (V)
0.034706,5.015333
0.034707,5.215333
0.034707999999999996,5.015333
0.034709,5.215333
0.03471,5.248667
0.034711,4.970666
0.034712,5.293333
0.034713,4.982
0.034714,5.170667
0.034714999999999996,4.948
0.034716,4.948
0.034717,5.204
0.034718,5.004
0.034719,5.282
0.03472,4.982
0.034721,5.170667
0.034721999999999996,4.937333
0.034723,5.182
0.034724,4.937333
0.034725,5.215333
0.034726,5.170667
0.034727,4.948
0.034727999999999995,4.926
0.034728999999999996,5.137333
0.03473,5.126
0.034731,4.982
0.034732,5.182
0.034733,4.914667
0.034734,4.926
0.034734999999999995,5.126
0.034735999999999996,4.904
0.034737,5.170667
0.034738,5.137333
0.034739,4.959333
0.03474,5.137333
0.034741,4.959333
0.034741999999999995,4.892667
0.034742999999999996,5.215333
0.034744,5.148666
0.034745,4.914667
0.034746,5.170667
0.034747,4.948
0.034748,4.948
0.034748999999999995,5.182
0.034749999999999996,5.215333
0.034751,4.904
0.034752,5.126
0.034753,4.937333
0.034754,4.937333
0.034755,5.182
0.034755999999999995,5.182
0.034756999999999996,4.892667
0.034758,4.948
0.034759,5.115333
0.03476,5.126
0.034761,4.881333
0.034762,5.126
0.034762999999999995,4.926
0.034763999999999996,4.892667
0.034765,5.193333
0.034766,4.892667
0.034767,5.148666
0.034768,5.148666
0.034769,4.904
0.034769999999999995,4.926
0.034770999999999996,5.148666
0.034772,5.104
0.034773,4.914667
0.034774,5.126
0.034775,4.937333
0.034776,5.115333
0.034776999999999995,4.904
0.034777999999999996,5.115333
0.034779,4.914667
0.03478,5.148666
0.034781,4.892667
0.034782,4.892667
0.034783,5.193333
0.034783999999999995,5.148666
0.034784999999999996,4.937333
0.034786,4.926
0.034787,5.126
0.034788,5.126
0.034789,4.970666
0.03479,5.137333
0.034790999999999996,4.914667
0.034792,5.170667
0.034793,4.970666
0.034794,5.115333
0.034795,4.926
0.034796,5.170667
0.034797,4.959333
0.034797999999999996,4.914667
0.034799,5.148666
0.0348,5.082
0.034801,-5.053333
0.034802,-4.875333
0.034803,-5.086667
0.034804,-4.919333
0.034804999999999996,-5.130667
0.034806,-4.919333
0.034807,-5.142
0.034808,-4.952667
0.034809,-5.186666
0.03481,-5.12
0.034811,-4.897333
0.034811999999999996,-4.897333
0.034813,-5.164
0.034814,-5.175333
0.034815,-4.919333
0.034816,-5.108666
0.034817,-4.942
0.034818,-5.164
0.034818999999999996,-4.897333
0.03482,-5.142
0.034821,-4.852666
0.034822,-5.108666
0.034823,-4.886
0.034824,-4.942
0.034825,-5.164
0.034825999999999996,-5.108666
0.034827,-4.886
0.034828,-4.897333
0.034829,-5.142
0.03483,-5.108666
0.034831,-4.952667
0.034832,-5.164
0.034832999999999996,-4.886
0.034834,-5.108666
0.034835,-4.897333
0.034836,-5.12
0.034837,-4.864
0.034838,-5.042
0.034838999999999995,-4.886
0.034839999999999996,-4.864
0.034841,-5.164
0.034842,-4.897333
0.034843,-5.086667
0.034844,-5.097333
0.034845,-4.919333
0.034845999999999995,-4.897333
0.034846999999999996,-5.075333
0.034848,-4.864
0.034849,-5.142
0.03485,-4.897333
0.034851,-5.064
0.034852,-4.908667
0.034852999999999995,-5.064
0.034853999999999996,-4.830667
0.034855,-5.075333
0.034856,-4.830667
0.034857,-5.12
0.034858,-4.919333
0.034859,-5.12
0.034859999999999995,-5.130667
0.034860999999999996,-4.897333
0.034862,-5.097333
0.034863,-4.830667
0.034864,-4.897333
0.034865,-5.108666
0.034866,-5.097333
0.034866999999999995,-4.886
0.034867999999999996,-4.919333
0.034869,-5.130667
0.03487,-5.175333
0.034871,-4.897333
0.034872,-5.064
0.034873,-4.897333
0.034873999999999995,-4.864
0.034874999999999996,-5.108666
0.034876,-4.897333
0.034877,-5.142
0.034878,-5.086667
0.034879,-4.774667
0.03488,-5.064
0.034880999999999995,-4.842
0.034881999999999996,-5.086667
0.034883,-4.842
0.034884,-5.075333
0.034885,-4.886
0.034886,-4.886
0.034887,-5.12
0.034887999999999995,-4.908667
0.034888999999999996,-5.108666
0.03489,-5.075333
0.034891,-4.864
0.034892,-5.108666
0.034893,-4.886
0.034894,-5.097333
0.034894999999999995,-4.864
0.034895999999999996,-5.108666
0.034897,-4.864
0.034898,-4.897333
0.034899,-5.108666
0.0349,-4.942
0.034901,5.059333
0.034901999999999996,5.226666
0.034902999999999997,4.937333
0.034904,5.215333
0.034905,4.926
0.034906,5.237333
0.034907,5.037333
0.034908,5.004
0.034908999999999996,5.326667
0.03491,5.282
0.034911,4.982
0.034912,5.204
0.034913,4.948
0.034914,5.015333
0.034915,5.204
0.034915999999999996,4.948
0.034917,5.182
0.034918,4.959333
0.034919,5.182
0.03492,5.004
0.034921,5.137333
0.034922,5.182
0.034922999999999996,4.970666
0.034924,4.848
0.034925,5.16
0.034926,4.970666
0.034927,5.226666
0.034928,5.193333
0.034929,4.959333
0.034929999999999996,5.170667
0.034931,4.948
0.034932,5.137333
0.034933,4.837333
0.034934,5.182
0.034935,4.914667
0.034936,4.982
0.034936999999999996,5.270667
0.034938,5.148666
0.034939,4.982
0.03494,4.892667
0.034941,5.126
0.034942,4.959333
0.034943,5.182
0.034943999999999996,4.881333
0.034945,5.215333
0.034946,5.204
0.034947,4.948
0.034948,5.170667
0.034949,4.982
0.034949999999999995,5.115333
0.034950999999999996,4.881333
0.034952,4.892667
0.034953,5.26
0.034954,4.926
0.034955,5.126
0.034956,4.948
0.034956999999999995,5.126
0.034957999999999996,4.914667
0.034959,5.170667
0.03496,4.982
0.034961,5.115333
0.034962,5.170667
0.034963,4.959333
0.034963999999999995,5.126
0.034964999999999996,4.970666
0.034966,4.914667
0.034967,5.137333
0.034968,5.115333
0.034969,4.926
0.03497,4.948
0.034970999999999995,5.16
0.034971999999999996,5.16
0.034973,4.914667
0.034974,5.204
0.034975,4.937333
0.034976,4.982
0.034977,5.182
0.034977999999999995,4.926
0.034978999999999996,5.092667
0.03498,4.904
0.034981,5.193333
0.034982,4.948
0.034983,5.148666
0.034984,4.914667
0.034984999999999995,5.104
0.034985999999999996,5.137333
0.034987,4.837333
0.034988,4.937333
0.034989,5.170667
0.03499,5.137333
0.034991,4.948
0.034991999999999995,5.148666
0.034992999999999996,4.982
0.034994,4.926
0.034995,5.115333
0.034996,5.148666
0.034997,4.892667
0.034998,5.170667
0.034998999999999995,5.048666
0.034999999999999996,5.115333
0.035001,-5.164
0.035002,-4.830667
0.035003,-5.164
0.035004,-4.942
0.035005,-5.142
0.035005999999999995,-5.12
0.035006999999999996,-4.908667
0.035008,-5.142
0.035009,-4.908667
0.03501,-5.086667
0.035011,-4.908667
0.035012,-4.942
0.035012999999999996,-5.108666
0.035013999999999997,-5.108666
0.035015,-4.886
0.035016,-5.130667
0.035017,-4.942
0.035018,-4.930666
0.035019,-5.130667
0.035019999999999996,-4.886
0.035021,-5.142
0.035022,-5.108666
0.035023,-4.897333
0.035024,-5.175333
0.035025,-4.842
0.035026,-4.852666
0.035026999999999996,-5.130667
0.035028,-4.875333
0.035029,-5.142
0.03503,-5.086667
0.035031,-4.886
0.035032,-4.830667
0.035033,-5.097333
0.035033999999999996,-4.842
0.035035,-5.12
0.035036,-5.108666
0.035037,-4.842
0.035038,-4.886
0.035039,-5.130667
0.03504,-5.086667
0.035040999999999996,-4.875333
0.035042,-4.842
0.035043,-5.12
0.035044,-4.908667
0.035045,-5.064
0.035046,-5.086667
0.035047,-4.886
0.035047999999999996,-4.886
0.035049,-5.086667
0.03505,-4.842
0.035051,-5.086667
0.035052,-4.897333
0.035053,-5.153333
0.035054,-5.142
0.035054999999999996,-4.797333
0.035056,-5.130667
0.035057,-4.808
0.035058,-4.852666
0.035059,-5.108666
0.03506,-4.875333
0.035060999999999995,-5.086667
0.035061999999999996,-4.897333
0.035063,-5.108666
0.035064,-4.808
0.035065,-5.186666
0.035066,-5.108666
0.035067,-4.897333
0.035067999999999995,-5.086667
0.035068999999999996,-4.919333
0.03507,-5.086667
0.035071,-4.897333
0.035072,-4.864
0.035073,-5.130667
0.035074,-4.919333
0.035074999999999995,-5.053333
0.035075999999999996,-5.075333
0.035077,-4.908667
0.035078,-5.053333
0.035079,-4.886
0.03508,-4.842
0.035081,-5.086667
0.035081999999999995,-4.886
0.035082999999999996,-5.097333
0.035084,-5.064
0.035085,-4.897333
0.035086,-4.908667
0.035087,-5.108666
0.035088,-4.864
0.035088999999999995,-5.064
0.035089999999999996,-4.886
0.035091,-5.108666
0.035092,-5.198
0.035093,-4.830667
0.035094,-4.808
0.035095,-5.02
0.035095999999999995,-5.164
0.035096999999999996,-4.875333
0.035098,-5.075333
0.035099,-4.919333
0.0351,-4.741333
0.035101,5.082
0.035102,4.926
0.035102999999999995,5.182
0.035103999999999996,4.982
0.035105,5.226666
0.035106,5.004
0.035107,5.204
0.035108,5.048666
0.035109,5.193333
0.035109999999999995,4.959333
0.035110999999999996,5.226666
0.035112,5.204
0.035113,5.015333
0.035114,5.004
0.035115,5.193333
0.035116,5.26
0.035116999999999995,4.948
0.035117999999999996,4.970666
0.035119,5.193333
0.03512,4.892667
0.035121,5.204
0.035122,4.982
0.035123,5.148666
0.035123999999999996,4.937333
0.035124999999999997,5.182
0.035126,4.948
